,City,lat,lng,pop,Coordinates,popsirasi
0,İstanbul,41.031684999999996,28.881379999999996,19244752.0,POINT (28.881379999999996 41.031684999999996),80
1,Ankara,39.70805000000001,32.384449999999994,143846.0,POINT (32.384449999999994 39.70805000000001),50
2,Elazığ,38.720150000000004,39.5018,449246.0,POINT (39.5018 38.720150000000004),72
3,Manisa,38.71481111111111,27.821933333333334,531144.0,POINT (27.821933333333334 38.71481111111111),74
4,Van,38.5019,43.4167,353419.0,POINT (43.4167 38.5019),70
5,İzmir,38.4244125,27.239974999999998,868485.0,POINT (27.239974999999998 38.4244125),79
6,Hatay,36.41065555555556,36.16372222222222,860179.0,POINT (36.16372222222222 36.41065555555556),78
7,Bursa,40.15056666666667,29.21953333333333,563798.0,POINT (29.21953333333333 40.15056666666667),76
8,Kocaeli,40.75341666666666,29.726583333333334,556519.0,POINT (29.726583333333334 40.75341666666666),75
9,Adana,37.159666666666666,35.6504,351279.0,POINT (35.6504 37.159666666666666),69
10,Kütahya,39.2778,29.42176,294722.0,POINT (29.42176 39.2778),65
11,Sakarya,40.8434,30.627799999999997,244183.0,POINT (30.627799999999997 40.8434),61
12,Tekirdağ,41.15307142857143,27.72441428571429,365260.0,POINT (27.72441428571429 41.15307142857143),71
13,Tokat,40.44936,36.41144,265780.0,POINT (36.41144 40.44936),62
14,Şanlıurfa,37.166628571428575,39.019414285714284,453040.0,POINT (39.019414285714284 37.166628571428575),73
15,Aydın,37.804649999999995,28.075375,302170.0,POINT (28.075375 37.804649999999995),66
16,Konya,38.01388666666666,32.595613333333326,671021.0,POINT (32.595613333333326 38.01388666666666),77
17,Diyarbakır,38.142039999999994,40.05926000000001,311870.0,POINT (40.05926000000001 38.142039999999994),67
18,Zonguldak,41.35248333333334,31.719849999999997,273940.0,POINT (31.719849999999997 41.35248333333334),63
19,Eskişehir,39.540166666666664,31.03363333333333,187225.0,POINT (31.03363333333333 39.540166666666664),56
20,Osmaniye,37.178149999999995,36.270624999999995,283224.0,POINT (36.270624999999995 37.178149999999995),64
21,Edirne,41.2877,26.543333333333333,193275.0,POINT (26.543333333333333 41.2877),57
22,Gaziantep,37.01695,37.329724999999996,202179.0,POINT (37.329724999999996 37.01695),60
23,Ordu,40.94438,37.51812,195462.0,POINT (37.51812 40.94438),58
24,Kayseri,38.479974999999996,34.6336875,185085.0,POINT (34.6336875 38.479974999999996),54
25,Adıyaman,38.472500000000004,40.4724,151025.0,POINT (40.4724 38.472500000000004),52
26,Samsun,41.29022222222222,36.193677777777765,349923.0,POINT (36.193677777777765 41.29022222222222),68
27,Sivas,39.7327,37.32965000000001,144891.0,POINT (37.32965000000001 39.7327),51
28,Erzurum,39.915400000000005,40.98515,112260.0,POINT (40.98515 39.915400000000005),46
29,Malatya,38.49366,38.284,138683.0,POINT (38.284 38.49366),49
30,Karabük,41.2,32.4833,109919.0,POINT (32.4833 41.2),43
31,Mersin,36.441585714285715,33.71877142857143,196750.0,POINT (33.71877142857143 36.441585714285715),59
32,Mardin,37.27428,40.831959999999995,121196.0,POINT (40.831959999999995 37.27428),47
33,Hakkâri,37.462666666666664,43.87883333333334,156988.0,POINT (43.87883333333334 37.462666666666664),53
34,Karaman,37.1833,33.2167,76525.0,POINT (33.2167 37.1833),36
35,Antalya,36.648587500000005,30.956512500000002,137155.0,POINT (30.956512500000002 36.648587500000005),48
36,Aksaray,38.4513,33.8716,93375.0,POINT (33.8716 38.4513),40
37,Balıkesir,39.61385555555555,27.516166666666667,185121.0,POINT (27.516166666666667 39.61385555555555),55
38,Trabzon,40.99972857142857,39.51377142857143,107203.0,POINT (39.51377142857143 40.99972857142857),42
39,Denizli,37.86613333333333,29.1534,111714.0,POINT (29.1534 37.86613333333333),45
40,Kahramanmaraş,37.742475,37.0013,87729.0,POINT (37.0013 37.742475),39
41,Düzce,40.96115,31.144,79065.0,POINT (31.144 40.96115),37
42,Muğla,36.996125,28.048050000000003,81368.0,POINT (28.048050000000003 36.996125),38
43,Iğdır,39.986549999999994,43.852900000000005,54148.0,POINT (43.852900000000005 39.986549999999994),31
44,Afyonkarahisar,38.60241428571429,30.729285714285712,101059.0,POINT (30.729285714285712 38.60241428571429),41
45,Kars,40.4696,42.84305,56933.0,POINT (42.84305 40.4696),32
46,Bartın,41.691900000000004,32.36195,42077.0,POINT (32.36195 41.691900000000004),25
47,Uşak,38.527833333333334,29.349966666666663,47463.0,POINT (29.349966666666663 38.527833333333334),28
48,Amasya,40.807900000000004,35.54225,63395.0,POINT (35.54225 40.807900000000004),34
49,Çorum,40.35495,34.66515,41765.0,POINT (34.66515 40.35495),23
50,Batman,37.995533333333334,41.305299999999995,53329.0,POINT (41.305299999999995 37.995533333333334),30
51,Rize,41.100366666666666,40.74386666666667,43973.0,POINT (40.74386666666667 41.100366666666666),27
52,Siirt,37.8417,41.9458,25480.0,POINT (41.9458 37.8417),13
53,Şırnak,37.357749999999996,42.25175,111417.0,POINT (42.25175 37.357749999999996),44
54,Ağrı,39.502066666666664,43.3338,38344.0,POINT (43.3338 39.502066666666664),21
55,Kırklareli,41.52426666666667,27.225099999999998,63550.0,POINT (27.225099999999998 41.52426666666667),35
56,Bayburt,40.2546,40.226,23690.0,POINT (40.226 40.2546),12
57,Kastamonu,41.303333333333335,34.01193333333333,41837.0,POINT (34.01193333333333 41.303333333333335),24
58,Çanakkale,40.136799999999994,26.8984,40678.0,POINT (26.8984 40.136799999999994),22
59,Burdur,37.44133333333334,30.1301,38145.0,POINT (30.1301 37.44133333333334),19
60,Isparta,38.03335,30.86665,32318.0,POINT (30.86665 38.03335),15
61,Yalova,40.6527,29.23963333333333,36654.0,POINT (29.23963333333333 40.6527),18
62,Bolu,40.7333,31.6,21700.0,POINT (31.6 40.7333),7
63,Niğde,37.9315,34.62095,35972.0,POINT (34.62095 37.9315),17
64,Nevşehir,38.629925,34.745000000000005,38151.0,POINT (34.745000000000005 38.629925),20
65,Giresun,40.96525,38.57825,52436.0,POINT (38.57825 40.96525),29
66,Bitlis,38.60768,42.33068,58110.0,POINT (42.33068 38.60768),33
67,Ardahan,40.95515,42.6546,22482.0,POINT (42.6546 40.95515),9
68,Muş,38.838233333333335,41.81713333333334,34111.0,POINT (41.81713333333334 38.838233333333335),16
69,Erzincan,39.7282,39.59655,20903.0,POINT (39.59655 39.7282),6
70,Yozgat,39.6308,35.04296,42737.0,POINT (35.04296 39.6308),26
71,Kilis,36.7167,37.1167,14150.0,POINT (37.1167 36.7167),5
72,Sinop,41.8152,34.8337,28092.0,POINT (34.8337 41.8152),14
73,Kırşehir,39.25125,33.942350000000005,23338.0,POINT (33.942350000000005 39.25125),11
74,Bingöl,38.8861,40.5017,11727.0,POINT (40.5017 38.8861),4
75,Bilecik,40.02545,30.00795,23029.0,POINT (30.00795 40.02545),10
76,Çankırı,40.6,33.6167,9075.0,POINT (33.6167 40.6),3
77,Artvin,41.1822,41.8194,8719.0,POINT (41.8194 41.1822),2
78,Gümüşhane,40.4597,39.4778,8092.0,POINT (39.4778 40.4597),1
79,Kırıkkale,39.77613333333334,33.53303333333333,22108.0,POINT (33.53303333333333 39.77613333333334),8
80,Tunceli,39.1061,39.5481,4169.0,POINT (39.5481 39.1061),0
